期間,期貨-長部位_原始值,期貨-長部位_年增率(%),期貨-長部位_原始值,期貨-長部位_年增率(%),期貨-短部位_原始值,期貨-短部位_年增率(%),期貨-短部位_原始值,期貨-短部位_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2006M03,0,-100.00,"133,296",125.26,0,-100.00,"67,924",62.67,0,--,65,--,0,--,130,--,0,-100.00,"201,415",99.56
2006M04,0,--,"99,812",81.26,0,-100.00,"104,089",278.42,0,--,64,-79.62,0,--,128,-59.24,0,-100.00,"204,093",145.30
2006M05,0,-100.00,"119,856",190.15,0,-100.00,"152,008",609.79,0,--,96,-23.20,0,--,192,-23.51,0,-100.00,"272,152",331.30
2006M06,0,-100.00,"114,759",-4.85,0,-100.00,"96,825",97.36,0,--,0,--,0,--,0,--,0,-100.00,"211,584",24.71
2006M07,0,--,"112,612",15.20,0,-100.00,"42,400",-3.26,0,--,0,--,0,--,0,--,0,-100.00,"155,012",9.48
2006M08,0,--,"173,981",104.77,0,--,"155,662",118.50,0,--,0,-100.00,0,--,0,-100.00,0,--,"329,643",110.64
2006M09,0,--,"159,774",40.59,0,--,"125,666",88.11,0,--,0,-100.00,0,--,0,-100.00,0,--,"285,440",58.01
2006M10,20,--,"114,960",0.72,112,--,"92,911",68.48,0,--,0,--,0,--,0,--,132,--,"207,871",22.80
2006M11,"1,012",--,"192,175",78.45,"1,016",--,"137,610",139.01,0,--,0,--,0,--,0,--,"2,028",--,"329,785",99.55
2006M12,551,--,"113,857",1.53,629,--,"131,960",260.66,0,--,0,--,0,--,0,--,"1,180",--,"245,817",65.28
2007M01,0,--,"314,330",304.32,50,--,"324,704",635.64,0,--,0,-100.00,0,--,0,-100.00,50,--,"639,034",423.49
2007M02,0,--,"462,816",401.72,0,--,"444,030","2,068.75",0,--,0,--,0,--,0,--,0,--,"906,846",704.51
2007M03,0,--,"665,421",399.21,0,--,"736,735",984.65,0,--,0,-100.00,0,--,0,-100.00,0,--,"1,402,156",596.15
2007M04,857,--,"495,838",396.77,521,--,"475,829",357.14,0,--,0,-100.00,0,--,0,-100.00,"1,378",--,"971,667",376.09
2007M05,27,--,"454,959",279.59,85,--,"455,088",199.38,0,--,0,-100.00,0,--,0,-100.00,112,--,"910,047",234.39
2007M06,0,--,"483,824",321.60,52,--,"447,364",362.03,0,--,"15,729",--,0,--,0,--,52,--,"946,917",347.54
2007M07,"22,763",--,"529,507",370.20,"22,836",--,"396,051",834.08,0,--,"58,552",--,0,--,0,--,"45,599",--,"984,110",534.86
2007M08,"17,252",--,"763,622",338.91,"17,352",--,"863,554",454.76,0,--,"15,238",--,0,--,"10,957",--,"34,604",--,"1,653,371",401.56
2007M09,"44,619",--,"441,916",176.59,"44,629",--,"462,755",268.24,0,--,"5,127",--,0,--,"6,280",--,"89,248",--,"916,078",220.94
2007M10,"34,103","170,415.00","736,434",540.60,"34,128","30,371.43","657,890",608.09,0,--,"50,686",--,0,--,"24,824",--,"68,231","51,590.15","1,469,834",607.09
2007M11,"41,147","3,965.91","911,788",374.46,"41,147","3,949.90","972,382",606.62,0,--,0,--,0,--,0,--,"82,294","3,957.89","1,884,170",471.33
2007M12,"42,722","7,653.54","413,550",263.22,"42,722","6,692.05","385,664",192.26,0,--,0,--,0,--,0,--,"85,444","7,141.02","799,214",225.13
2008M01,"45,092",--,"993,472",216.06,"45,083","90,066.00","1,078,434",232.13,0,--,"28,122",--,0,--,"22,732",--,"90,175","180,250.00","2,122,760",232.18
2008M02,"138,418",--,"621,949",34.38,"137,864",--,"515,151",16.02,0,--,"2,832",--,0,--,"1,178",--,"276,282",--,"1,141,110",25.83
2008M03,"32,761",--,"642,146",-3.50,"33,311",--,"572,604",-22.28,0,--,"4,566",--,0,--,"6,494",--,"66,072",--,"1,225,810",-12.58
2008M04,"275,947","32,099.18","448,620",-9.52,"275,417","52,763.15","383,151",-19.48,0,--,0,--,0,--,0,--,"551,364","39,911.90","831,771",-14.40
2008M05,"263,961","977,533.33","516,813",13.60,"245,762","289,031.76","543,989",19.53,0,--,"17,931",--,0,--,"11,849",--,"509,723","455,009.82","1,090,582",19.84
2008M06,"224,880",--,"591,498",22.25,"224,620","431,861.54","589,254",31.72,0,--,"3,035",-80.70,0,--,"7,588",--,"449,500","864,323.08","1,191,375",25.82
2008M07,"38,320",68.34,"452,688",-14.51,"38,415",68.22,"460,227",16.20,0,--,"2,753",-95.30,0,--,"2,753",--,"76,735",68.28,"918,421",-6.67
2008M08,"38,395",122.55,"323,389",-57.65,"38,448",121.58,"321,222",-62.80,0,--,"17,116",12.32,0,--,"15,374",40.31,"76,843",122.06,"677,101",-59.05
2008M09,"170,186",281.42,"438,086",-0.87,"170,223",281.42,"521,538",12.70,0,--,"17,214",235.75,0,--,"17,214",174.11,"340,409",281.42,"994,052",8.51
2008M10,"39,079",14.59,"331,819",-54.94,"38,653",13.26,"177,585",-73.01,0,--,"20,048",-60.45,0,--,"20,493",-17.45,"77,732",13.92,"549,945",-62.58
2008M11,"38,890",-5.49,"211,135",-76.84,"39,439",-4.15,"158,891",-83.66,0,--,"6,988",--,0,--,"5,241",--,"78,329",-4.82,"382,255",-79.71
2008M12,"39,663",-7.16,"238,238",-42.39,"40,339",-5.58,"243,644",-36.82,0,--,0,--,0,--,0,--,"80,002",-6.37,"481,882",-39.71
2009M01,"39,644",-12.08,"299,082",-69.90,"39,888",-11.52,"285,396",-73.54,0,--,"68,161",142.38,0,--,958,-95.79,"79,532",-11.80,"653,597",-69.21
2009M02,"39,367",-71.56,"486,348",-21.80,"39,567",-71.30,"476,486",-7.51,0,--,"23,410",726.62,0,--,"18,047","1,432.00","78,934",-71.43,"1,004,291",-11.99
2009M03,"39,489",20.54,"593,750",-7.54,"39,489",18.55,"581,333",1.52,0,--,0,-100.00,0,--,0,-100.00,"78,978",19.53,"1,175,083",-4.14
2009M04,"39,084",-85.84,"367,310",-18.12,"39,090",-85.81,"368,926",-3.71,0,--,"2,225",--,0,--,"2,225",--,"78,174",-85.82,"740,686",-10.95
2009M05,"17,554",-93.35,"372,967",-27.83,"17,278",-92.97,"379,354",-30.26,0,--,"3,265",-81.79,0,--,"1,632",-86.23,"34,832",-93.17,"757,218",-30.57
2009M06,"1,385",-99.38,"477,874",-19.21,"1,385",-99.38,"473,293",-19.68,0,--,0,-100.00,0,--,"3,239",-57.31,"2,770",-99.38,"954,406",-19.89
2009M07,"39,862",4.02,"321,193",-29.05,"39,862",3.77,"330,218",-28.25,0,--,"16,389",495.31,0,--,"11,532",318.89,"79,724",3.90,"679,332",-26.03
2009M08,"41,261",7.46,"274,592",-15.09,"41,261",7.32,"295,686",-7.95,0,--,"13,428",-21.55,0,--,"15,488",0.74,"82,522",7.39,"599,194",-11.51
2009M09,"43,697",-74.32,"217,825",-50.28,"43,600",-74.39,"204,333",-60.82,0,--,"13,805",-19.80,0,--,"11,771",-31.62,"87,297",-74.36,"447,734",-54.96
2009M10,"39,024",-0.14,"372,441",12.24,"39,024",0.96,"395,624",122.78,0,--,"7,223",-63.97,0,--,"5,226",-74.50,"78,048",0.41,"780,514",41.93
2009M11,"40,937",5.26,"326,365",54.58,"40,937",3.80,"298,538",87.89,0,--,"4,658",-33.34,0,--,"3,823",-27.06,"81,874",4.53,"633,384",65.70
2009M12,"38,718",-2.38,"186,829",-21.58,"39,018",-3.27,"199,202",-18.24,0,--,876,--,0,--,0,--,"77,736",-2.83,"386,907",-19.71
2010M01,0,-100.00,"384,288",28.49,0,-100.00,"391,329",37.12,0,--,0,-100.00,0,--,0,-100.00,0,-100.00,"775,617",18.67
2010M02,0,-100.00,"386,606",-20.51,0,-100.00,"397,001",-16.68,0,--,0,-100.00,0,--,0,-100.00,0,-100.00,"783,607",-21.97
2010M03,0,-100.00,"480,012",-19.16,0,-100.00,"490,055",-15.70,0,--,0,--,0,--,0,--,0,-100.00,"970,067",-17.45
