期間,土地面積(平方公里)_原始值,土地面積(平方公里)_年增率(%),鄉鎮市區數_原始值,鄉鎮市區數_年增率(%),村里數_原始值,村里數_年增率(%),鄰數_原始值,鄰數_年增率(%),戶數_原始值,戶數_年增率(%),人口數_原始值,人口數_年增率(%),年(月)人口增加率(0/00)_原始值,年(月)人口增加率(0/00)_年增率(%),男性人口數_原始值,男性人口數_年增率(%),女性人口數_原始值,女性人口數_年增率(%),性比例(每百女子對男子數)_原始值,性比例(每百女子對男子數)_年增率(%),戶量(人/戶)_原始值,戶量(人/戶)_年增率(%),人口密度(人/平方公里)_原始值,人口密度(人/平方公里)_年增率(%)
2011M01,"36,191.467",-,368,0.00,"7,835",-0.13,"147,891",-0.18,"7,942,075",1.64,"23,164,628",0.17,0.11,-,"11,634,515",-0.02,"11,530,113",0.37,100.90,-,2.92,-,640.06,-
2011M02,"36,191.467",-,368,0.00,"7,835",0.15,"147,904",0.07,"7,947,403",1.64,"23,164,457",0.16,-0.01,-,"11,632,909",-0.04,"11,531,548",0.35,100.88,-,2.92,-,640.05,-
2011M03,"36,191.467",-,368,0.00,"7,835",0.09,"147,912",0.02,"7,959,795",1.59,"23,165,878",0.15,0.06,-,"11,631,490",-0.04,"11,534,388",0.35,100.84,-,2.91,-,640.09,-
2011M04,"36,191.467",-,368,0.00,"7,835",0.09,"147,921",0.03,"7,970,921",1.56,"23,170,321",0.16,0.19,-,"11,631,965",-0.03,"11,538,356",0.36,100.81,-,2.91,-,640.22,-
2011M05,"36,191.467",-,368,0.00,"7,835",0.06,"147,920",-0.01,"7,983,216",1.57,"23,174,528",0.17,0.18,-,"11,632,520",-0.02,"11,542,008",0.36,100.78,-,2.90,-,640.33,-
2011M06,"36,191.467",-,368,0.00,"7,835",0.06,"147,921",-0.01,"7,995,060",1.52,"23,180,477",0.18,0.26,-,"11,633,505",-0.01,"11,546,972",0.38,100.75,-,2.90,-,640.50,-
2011M07,"36,191.467",-,368,0.00,"7,835",0.00,"147,940",0.02,"8,007,543",1.53,"23,188,078",0.20,0.33,-,"11,635,880",0.01,"11,552,198",0.38,100.72,-,2.90,-,640.71,-
2011M08,"36,191.467",-,368,0.00,"7,835",0.00,"147,880",0.00,"8,022,520",1.54,"23,193,638",0.21,0.24,-,"11,637,076",0.02,"11,556,562",0.40,100.70,-,2.89,-,640.86,-
2011M09,"36,192.815",-,368,0.00,"7,835",0.00,"147,831",-0.03,"8,042,061",1.56,"23,197,947",0.22,0.19,-,"11,637,704",0.04,"11,560,243",0.41,100.67,-,2.88,-,640.95,-
2011M10,"36,192.815",-,368,0.00,"7,835",0.00,"147,829",-0.03,"8,047,803",1.56,"23,205,605",0.24,0.33,-,"11,640,046",0.06,"11,565,559",0.42,100.64,-,2.88,-,641.17,-
2011M11,"36,192.815",-,368,0.00,"7,835",0.00,"147,828",-0.03,"8,052,869",1.57,"23,214,620",0.25,0.39,-,"11,642,704",0.07,"11,571,916",0.43,100.61,-,2.88,-,641.42,-
2011M12,"36,192.815",-,368,0.00,"7,835",0.00,"147,828",-0.03,"8,057,761",1.52,"23,224,912",0.27,0.44,-,"11,645,674",0.09,"11,579,238",0.45,100.57,-,2.88,-,641.70,-
2012M01,"36,192.815",-,368,0.00,"7,835",0.00,"147,830",-0.04,"8,061,054",1.50,"23,230,506",0.28,0.24,-,"11,646,876",0.11,"11,583,630",0.46,100.55,-,2.88,-,641.85,-
2012M02,"36,192.815",-,368,0.00,"7,835",0.00,"147,899",0.00,"8,069,543",1.54,"23,234,003",0.30,0.15,-,"11,647,114",0.12,"11,586,889",0.48,100.52,-,2.88,-,641.95,-
2012M03,"36,192.815",-,368,0.00,"7,835",0.00,"147,930",0.01,"8,081,433",1.53,"23,239,268",0.32,0.23,-,"11,648,121",0.14,"11,591,147",0.49,100.49,-,2.88,-,642.10,-
2012M04,"36,192.815",-,368,0.00,"7,835",0.00,"147,952",0.02,"8,091,437",1.51,"23,245,018",0.32,0.25,-,"11,649,610",0.15,"11,595,408",0.49,100.47,-,2.87,-,642.26,-
2012M05,"36,192.815",-,368,0.00,"7,835",0.00,"147,951",0.02,"8,103,991",1.51,"23,252,392",0.34,0.32,-,"11,651,384",0.16,"11,601,008",0.51,100.43,-,2.87,-,642.46,-
2012M06,"36,192.815",-,368,0.00,"7,835",0.00,"147,960",0.03,"8,114,073",1.49,"23,261,747",0.35,0.40,-,"11,654,907",0.18,"11,606,840",0.52,100.41,-,2.87,-,642.72,-
2012M07,"36,192.815",-,368,0.00,"7,835",0.00,"147,987",0.03,"8,129,272",1.52,"23,268,372",0.35,0.28,-,"11,656,497",0.18,"11,611,875",0.52,100.38,-,2.86,-,642.90,-
2012M08,"36,192.815",-,368,0.00,"7,835",0.00,"148,324",0.30,"8,148,406",1.57,"23,276,441",0.36,0.35,-,"11,658,899",0.19,"11,617,542",0.53,100.36,-,2.86,-,643.12,-
2012M09,"36,192.815",-,368,0.00,"7,835",0.00,"148,353",0.35,"8,167,676",1.56,"23,282,670",0.36,0.27,-,"11,660,959",0.20,"11,621,711",0.53,100.34,-,2.85,-,643.30,-
2012M10,"36,192.815",-,368,0.00,"7,835",0.00,"148,356",0.36,"8,172,681",1.55,"23,293,593",0.38,0.47,-,"11,665,126",0.22,"11,628,467",0.54,100.32,-,2.85,-,643.60,-
2012M11,"36,192.815",-,368,0.00,"7,835",0.00,"148,358",0.36,"8,179,429",1.57,"23,305,021",0.39,0.49,-,"11,669,309",0.23,"11,635,712",0.55,100.29,-,2.85,-,643.91,-
2012M12,"36,192.815",-,368,0.00,"7,835",0.00,"148,358",0.36,"8,186,432",1.60,"23,315,822",0.39,0.46,-,"11,673,319",0.24,"11,642,503",0.55,100.26,-,2.85,-,644.21,-
2013M01,"36,192.815",-,368,0.00,"7,835",0.00,"148,379",0.37,"8,192,452",1.63,"23,324,092",0.40,0.36,-,"11,675,658",0.25,"11,648,434",0.56,100.23,-,2.85,-,644.44,-
2013M02,"36,192.815",-,368,0.00,"7,835",0.00,"148,388",0.33,"8,196,168",1.57,"23,328,602",0.41,0.19,-,"11,676,654",0.25,"11,651,948",0.56,100.21,-,2.85,-,644.56,-
2013M03,"36,192.815",-,368,0.00,"7,839",0.05,"148,572",0.43,"8,203,875",1.52,"23,332,705",0.40,0.18,-,"11,677,142",0.25,"11,655,563",0.56,100.18,-,2.84,-,644.68,-
2013M04,"36,192.815",-,368,0.00,"7,839",0.05,"148,558",0.41,"8,210,846",1.48,"23,335,580",0.39,0.12,-,"11,677,390",0.24,"11,658,190",0.54,100.16,-,2.84,-,644.76,-
2013M05,"36,192.815",-,368,0.00,"7,839",0.05,"148,559",0.41,"8,221,727",1.45,"23,340,136",0.38,0.20,-,"11,678,151",0.23,"11,661,985",0.53,100.14,-,2.84,-,644.88,-
2013M06,"36,192.815",-,368,0.00,"7,839",0.05,"148,565",0.41,"8,230,064",1.43,"23,344,213",0.36,0.18,-,"11,678,859",0.21,"11,665,354",0.50,100.12,-,2.84,-,645.00,-
2013M07,"36,192.815",-,368,0.00,"7,839",0.05,"148,569",0.39,"8,240,217",1.36,"23,349,724",0.35,0.24,-,"11,680,017",0.20,"11,669,707",0.50,100.09,-,2.83,-,645.15,-
2013M08,"36,192.815",-,368,0.00,"7,839",0.05,"148,563",0.16,"8,253,520",1.29,"23,354,061",0.33,0.19,-,"11,680,706",0.19,"11,673,355",0.48,100.06,-,2.83,-,645.27,-
2013M09,"36,192.815",-,368,0.00,"7,839",0.05,"148,563",0.14,"8,270,689",1.26,"23,356,588",0.32,0.11,-,"11,680,729",0.17,"11,675,859",0.47,100.04,-,2.82,-,645.34,-
2013M10,"36,192.815",-,368,0.00,"7,839",0.05,"148,555",0.13,"8,274,519",1.25,"23,361,147",0.29,0.20,-,"11,681,448",0.14,"11,679,699",0.44,100.02,-,2.82,-,645.46,-
2013M11,"36,192.815",-,368,0.00,"7,839",0.05,"148,559",0.14,"8,280,866",1.24,"23,367,320",0.27,0.26,-,"11,683,187",0.12,"11,684,133",0.42,99.99,-,2.82,-,645.63,-
2013M12,"36,192.815",-,368,0.00,"7,839",0.05,"148,587",0.15,"8,286,260",1.22,"23,373,517",0.25,0.26,-,"11,684,674",0.10,"11,688,843",0.40,99.96,-,2.82,-,645.80,-
2014M01,"36,192.815",-,368,0.00,"7,852",0.22,...,...,"8,290,235",1.19,"23,377,515",0.23,0.17,-,"11,685,438",0.08,"11,692,077",0.38,99.94,-,2.82,-,645.92,-
2014M02,"36,192.815",-,368,0.00,"7,852",0.22,...,...,"8,293,789",1.19,"23,379,129",0.22,0.07,-,"11,684,625",0.07,"11,694,504",0.36,99.92,-,2.82,-,645.96,-
2014M03,"36,192.815",-,368,0.00,"7,850",0.14,...,...,"8,300,560",1.18,"23,379,594",0.20,0.02,-,"11,683,396",0.05,"11,696,198",0.35,99.89,-,2.82,-,645.97,-
2014M04,"36,192.815",-,368,0.00,"7,850",0.14,...,...,"8,308,440",1.19,"23,382,948",0.20,0.14,-,"11,683,631",0.05,"11,699,317",0.35,99.87,-,2.81,-,646.07,-
2014M05,"36,192.815",-,368,0.00,"7,850",0.14,...,...,"8,320,686",1.20,"23,386,883",0.20,0.17,-,"11,684,092",0.05,"11,702,791",0.35,99.84,-,2.81,-,646.18,-
2014M06,"36,192.815",-,368,0.00,"7,850",0.14,...,...,"8,329,623",1.21,"23,392,036",0.20,0.22,-,"11,685,478",0.06,"11,706,558",0.35,99.82,-,2.81,-,646.32,-
2014M07,"36,192.815",-,368,0.00,"7,851",0.15,...,...,"8,339,092",1.20,"23,398,263",0.21,0.27,-,"11,687,050",0.06,"11,711,213",0.36,99.79,-,2.81,-,646.49,-
2014M08,"36,192.815",-,368,0.00,"7,851",0.15,...,...,"8,354,235",1.22,"23,404,243",0.22,0.26,-,"11,688,646",0.07,"11,715,597",0.36,99.77,-,2.80,-,646.65,-
