期間,本國籍-合計_原始值,本國籍-合計_年增率(%),本國籍占總出生(%)_原始值,本國籍占總出生(%)_年增率(%),本國籍-男_原始值,本國籍-男_年增率(%),本國籍-女_原始值,本國籍-女_年增率(%),大陸港澳地區與外國籍-計_原始值,大陸港澳地區與外國籍-計_年增率(%),大陸港澳地區與外國籍-男_原始值,大陸港澳地區與外國籍-男_年增率(%),大陸港澳地區與外國籍-女_原始值,大陸港澳地區與外國籍-女_年增率(%),大陸港澳地區-計_原始值,大陸港澳地區-計_年增率(%),大陸港澳地區-男_原始值,大陸港澳地區-男_年增率(%),大陸港澳地區-女_原始值,大陸港澳地區-女_年增率(%),外國籍-計_原始值,外國籍-計_年增率(%),外國籍-男_原始值,外國籍-男_年增率(%),外國籍-女_原始值,外國籍-女_年增率(%)
2004M01,"14,130",...,85.48,-,"7,468",...,"6,662",...,"2,401",...,"1,232",...,"1,169",...,922,...,485,...,437,...,"1,479",...,747,...,732,...
2004M02,"14,728",...,85.99,-,"7,690",...,"7,038",...,"2,400",...,"1,245",...,"1,155",...,931,...,485,...,446,...,"1,469",...,760,...,709,...
2004M03,"16,261",...,86.79,-,"8,641",...,"7,620",...,"2,474",...,"1,321",...,"1,153",...,"1,037",...,547,...,490,...,"1,437",...,774,...,663,...
2004M04,"14,924",...,86.40,-,"7,757",...,"7,167",...,"2,350",...,"1,219",...,"1,131",...,928,...,485,...,443,...,"1,422",...,734,...,688,...
2004M05,"14,354",...,86.85,-,"7,673",...,"6,681",...,"2,173",...,"1,138",...,"1,035",...,814,...,429,...,385,...,"1,359",...,709,...,650,...
2004M06,"14,310",...,86.60,-,"7,563",...,"6,747",...,"2,214",...,"1,154",...,"1,060",...,857,...,452,...,405,...,"1,357",...,702,...,655,...
2004M07,"14,692",...,86.95,-,"7,755",...,"6,937",...,"2,205",...,"1,134",...,"1,071",...,845,...,445,...,400,...,"1,360",...,689,...,671,...
2004M08,"15,519",...,86.54,-,"8,271",...,"7,248",...,"2,413",...,"1,287",...,"1,126",...,911,...,497,...,414,...,"1,502",...,790,...,712,...
2004M09,"16,411",...,86.81,-,"8,514",...,"7,897",...,"2,494",...,"1,311",...,"1,183",...,999,...,538,...,461,...,"1,495",...,773,...,722,...
2004M10,"16,801",...,87.40,-,"8,909",...,"7,892",...,"2,422",...,"1,218",...,"1,204",...,969,...,490,...,479,...,"1,453",...,728,...,725,...
2004M11,"18,254",...,87.52,-,"9,449",...,"8,805",...,"2,604",...,"1,369",...,"1,235",...,"1,018",...,541,...,477,...,"1,586",...,828,...,758,...
2004M12,"17,369",...,87.35,-,"9,014",...,"8,355",...,"2,516",...,"1,307",...,"1,209",...,975,...,491,...,484,...,"1,541",...,816,...,725,...
2005M01,"15,589",10.33,87.36,-,"8,086",8.28,"7,503",12.62,"2,255",-6.08,"1,197",-2.84,"1,058",-9.50,861,-6.62,445,-8.25,416,-4.81,"1,394",-5.75,752,0.67,642,-12.30
2005M02,"12,699",-13.78,87.18,-,"6,605",-14.11,"6,094",-13.41,"1,868",-22.17,962,-22.73,906,-21.56,693,-25.56,363,-25.15,330,-26.01,"1,175",-20.01,599,-21.18,576,-18.76
2005M03,"16,599",2.08,87.57,-,"8,639",-0.02,"7,960",4.46,"2,357",-4.73,"1,227",-7.12,"1,130",-1.99,877,-15.43,462,-15.54,415,-15.31,"1,480",2.99,765,-1.16,715,7.84
2005M04,"13,466",-9.77,87.03,-,"7,028",-9.40,"6,438",-10.17,"2,007",-14.60,"1,048",-14.03,959,-15.21,716,-22.84,368,-24.12,348,-21.44,"1,291",-9.21,680,-7.36,611,-11.19
2005M05,"14,873",3.62,87.05,-,"7,789",1.51,"7,084",6.03,"2,212",1.79,"1,139",0.09,"1,073",3.67,828,1.72,406,-5.36,422,9.61,"1,384",1.84,733,3.39,651,0.15
2005M06,"13,785",-3.67,86.59,-,"7,168",-5.22,"6,617",-1.93,"2,135",-3.57,"1,110",-3.81,"1,025",-3.30,846,-1.28,441,-2.43,405,0.00,"1,289",-5.01,669,-4.70,620,-5.34
2005M07,"13,983",-4.83,86.75,-,"7,290",-6.00,"6,693",-3.52,"2,136",-3.13,"1,166",2.82,970,-9.43,812,-3.91,447,0.45,365,-8.75,"1,324",-2.65,719,4.35,605,-9.84
2005M08,"15,480",-0.25,86.32,-,"8,097",-2.10,"7,383",1.86,"2,453",1.66,"1,294",0.54,"1,159",2.93,917,0.66,496,-0.20,421,1.69,"1,536",2.26,798,1.01,738,3.65
2005M09,"15,294",-6.81,87.10,-,"7,943",-6.71,"7,351",-6.91,"2,265",-9.18,"1,143",-12.81,"1,122",-5.16,890,-10.91,438,-18.59,452,-1.95,"1,375",-8.03,705,-8.80,670,-7.20
2005M10,"15,299",-8.94,87.01,-,"8,070",-9.42,"7,229",-8.40,"2,285",-5.66,"1,233",1.23,"1,052",-12.62,861,-11.15,468,-4.49,393,-17.95,"1,424",-2.00,765,5.08,659,-9.10
2005M11,"16,353",-10.41,87.45,-,"8,576",-9.24,"7,777",-11.68,"2,346",-9.91,"1,215",-11.25,"1,131",-8.42,895,-12.08,454,-16.08,441,-7.55,"1,451",-8.51,761,-8.09,690,-8.97
2005M12,"15,925",-8.31,87.91,-,"8,236",-8.63,"7,689",-7.97,"2,190",-12.96,"1,117",-14.54,"1,073",-11.25,826,-15.28,431,-12.22,395,-18.39,"1,364",-11.49,686,-15.93,678,-6.48
2006M01,"14,430",-7.43,87.58,-,"7,577",-6.29,"6,853",-8.66,"2,047",-9.22,"1,087",-9.19,960,-9.26,837,-2.79,448,0.67,389,-6.49,"1,210",-13.20,639,-15.03,571,-11.06
2006M02,"14,191",11.75,87.25,-,"7,413",12.23,"6,778",11.22,"2,073",10.97,"1,070",11.23,"1,003",10.71,820,18.33,410,12.95,410,24.24,"1,253",6.64,660,10.18,593,2.95
2006M03,"15,395",-7.25,87.85,-,"8,070",-6.59,"7,325",-7.98,"2,129",-9.67,"1,065",-13.20,"1,064",-5.84,873,-0.46,463,0.22,410,-1.20,"1,256",-15.14,602,-21.31,654,-8.53
2006M04,"13,314",-1.13,88.02,-,"6,972",-0.80,"6,342",-1.49,"1,812",-9.72,946,-9.73,866,-9.70,778,8.66,407,10.60,371,6.61,"1,034",-19.91,539,-20.74,495,-18.99
2006M05,"14,781",-0.62,88.21,-,"7,814",0.32,"6,967",-1.65,"1,976",-10.67,"1,059",-7.02,917,-14.54,865,4.47,459,13.05,406,-3.79,"1,111",-19.73,600,-18.14,511,-21.51
2006M06,"14,620",6.06,88.30,-,"7,701",7.44,"6,919",4.56,"1,938",-9.23,"1,047",-5.68,891,-13.07,853,0.83,467,5.90,386,-4.69,"1,085",-15.83,580,-13.30,505,-18.55
2006M07,"14,376",2.81,87.98,-,"7,652",4.97,"6,724",0.46,"1,964",-8.05,"1,001",-14.15,963,-0.72,863,6.28,468,4.70,395,8.22,"1,101",-16.84,533,-25.87,568,-6.12
2006M08,"15,208",-1.76,87.85,-,"7,877",-2.72,"7,331",-0.70,"2,103",-14.27,"1,102",-14.84,"1,001",-13.63,935,1.96,482,-2.82,453,7.60,"1,168",-23.96,620,-22.31,548,-25.75
2006M09,"14,949",-2.26,88.64,-,"7,846",-1.22,"7,103",-3.37,"1,915",-15.45,995,-12.95,920,-18.00,914,2.70,479,9.36,435,-3.76,"1,001",-27.20,516,-26.81,485,-27.61
2006M10,"16,808",9.86,88.80,-,"8,725",8.12,"8,083",11.81,"2,119",-7.26,"1,071",-13.14,"1,048",-0.38,987,14.63,503,7.48,484,23.16,"1,132",-20.51,568,-25.75,564,-14.42
2006M11,"16,922",3.48,89.27,-,"8,847",3.16,"8,075",3.83,"2,035",-13.26,"1,053",-13.33,982,-13.17,888,-0.78,470,3.52,418,-5.22,"1,147",-20.95,583,-23.39,564,-18.26
2006M12,"15,562",-2.28,89.67,-,"8,023",-2.59,"7,539",-1.95,"1,792",-18.17,923,-17.37,869,-19.01,810,-1.94,423,-1.86,387,-2.03,982,-28.01,500,-27.11,482,-28.91
2007M01,"16,277",12.80,89.32,-,"8,399",10.85,"7,878",14.96,"1,947",-4.89,"1,043",-4.05,904,-5.83,922,10.16,490,9.38,432,11.05,"1,025",-15.29,553,-13.46,472,-17.34
2007M02,"12,007",-15.39,88.97,-,"6,372",-14.04,"5,635",-16.86,"1,489",-28.17,778,-27.29,711,-29.11,654,-20.24,347,-15.37,307,-25.12,835,-33.36,431,-34.70,404,-31.87
2007M03,"16,652",8.16,90.06,-,"8,780",8.80,"7,872",7.47,"1,838",-13.67,950,-10.80,888,-16.54,856,-1.95,455,-1.73,401,-2.20,982,-21.82,495,-17.77,487,-25.54
2007M04,"13,816",3.77,89.44,-,"7,169",2.83,"6,647",4.81,"1,632",-9.93,859,-9.20,773,-10.74,765,-1.67,417,2.46,348,-6.20,867,-16.15,442,-18.00,425,-14.14
2007M05,"14,813",0.22,89.98,-,"7,780",-0.44,"7,033",0.95,"1,650",-16.50,867,-18.13,783,-14.61,775,-10.40,430,-6.32,345,-15.02,875,-21.24,437,-27.17,438,-14.29
2007M06,"13,130",-10.19,89.40,-,"6,919",-10.15,"6,211",-10.23,"1,557",-19.66,826,-21.11,731,-17.96,736,-13.72,401,-14.13,335,-13.21,821,-24.33,425,-26.72,396,-21.58
2007M07,"14,898",3.63,89.01,-,"7,703",0.67,"7,195",7.00,"1,839",-6.36,989,-1.20,850,-11.73,897,3.94,467,-0.21,430,8.86,942,-14.44,522,-2.06,420,-26.06
2007M08,"16,309",7.24,90.06,-,"8,522",8.19,"7,787",6.22,"1,800",-14.41,934,-15.25,866,-13.49,854,-8.66,444,-7.88,410,-9.49,946,-19.01,490,-20.97,456,-16.79
2007M09,"13,325",-10.86,89.65,-,"6,959",-11.31,"6,366",-10.38,"1,538",-19.69,818,-17.79,720,-21.74,768,-15.97,400,-16.49,368,-15.40,770,-23.08,418,-18.99,352,-27.42
2007M10,"17,363",3.30,90.28,-,"9,034",3.54,"8,329",3.04,"1,870",-11.75,984,-8.12,886,-15.46,942,-4.56,481,-4.37,461,-4.75,928,-18.02,503,-11.44,425,-24.65
2007M11,"17,415",2.91,90.18,-,"9,067",2.49,"8,348",3.38,"1,896",-6.83,979,-7.03,917,-6.62,"1,008",13.51,510,8.51,498,19.14,888,-22.58,469,-19.55,419,-25.71
2007M12,"17,504",12.48,90.45,-,"9,192",14.57,"8,312",10.25,"1,849",3.18,975,5.63,874,0.58,940,16.05,486,14.89,454,17.31,909,-7.43,489,-2.20,420,-12.86
2008M01,"16,558",1.73,90.37,-,"8,666",3.18,"7,892",0.18,"1,765",-9.35,924,-11.41,841,-6.97,898,-2.60,479,-2.24,419,-3.01,867,-15.41,445,-19.53,422,-10.59
2008M02,"14,459",20.42,90.00,-,"7,522",18.05,"6,937",23.11,"1,606",7.86,851,9.38,755,6.19,814,24.46,430,23.92,384,25.08,792,-5.15,421,-2.32,371,-8.17
2008M03,"14,528",-12.76,90.16,-,"7,597",-13.47,"6,931",-11.95,"1,586",-13.71,842,-11.37,744,-16.22,827,-3.39,445,-2.20,382,-4.74,759,-22.71,397,-19.80,362,-25.67
2008M04,"14,050",1.69,90.36,-,"7,427",3.60,"6,623",-0.36,"1,499",-8.15,802,-6.64,697,-9.83,785,2.61,421,0.96,364,4.60,714,-17.65,381,-13.80,333,-21.65
2008M05,"13,813",-6.75,90.23,-,"7,291",-6.29,"6,522",-7.27,"1,496",-9.33,776,-10.50,720,-8.05,749,-3.35,377,-12.33,372,7.83,747,-14.63,399,-8.70,348,-20.55
2008M06,"12,960",-1.29,89.82,-,"6,788",-1.89,"6,172",-0.63,"1,469",-5.65,757,-8.35,712,-2.60,744,1.09,380,-5.24,364,8.66,725,-11.69,377,-11.29,348,-12.12
2008M07,"14,555",-2.30,90.61,-,"7,609",-1.22,"6,946",-3.46,"1,508",-18.00,826,-16.48,682,-19.76,802,-10.59,442,-5.35,360,-16.28,706,-25.05,384,-26.44,322,-23.33
2008M08,"13,387",-17.92,90.05,-,"6,939",-18.58,"6,448",-17.20,"1,479",-17.83,793,-15.10,686,-20.79,770,-9.84,423,-4.73,347,-15.37,709,-25.05,370,-24.49,339,-25.66
2008M09,"14,535",9.08,90.57,-,"7,575",8.85,"6,960",9.33,"1,513",-1.63,814,-0.49,699,-2.92,764,-0.52,405,1.25,359,-2.45,749,-2.73,409,-2.15,340,-3.41
2008M10,"17,013",-2.02,90.78,-,"8,897",-1.52,"8,116",-2.56,"1,727",-7.65,924,-6.10,803,-9.37,904,-4.03,486,1.04,418,-9.33,823,-11.31,438,-12.92,385,-9.41
2008M11,"18,544",6.48,90.96,-,"9,592",5.79,"8,952",7.24,"1,844",-2.74,956,-2.35,888,-3.16,949,-5.85,499,-2.16,450,-9.64,895,0.79,457,-2.56,438,4.53
2008M12,"15,245",-12.91,90.53,-,"7,955",-13.46,"7,290",-12.30,"1,594",-13.79,814,-16.51,780,-10.76,828,-11.91,424,-12.76,404,-11.01,766,-15.73,390,-20.25,376,-10.48
2009M01,"12,180",-26.44,90.43,-,"6,425",-25.86,"5,755",-27.08,"1,289",-26.97,655,-29.11,634,-24.61,646,-28.06,334,-30.27,312,-25.54,643,-25.84,321,-27.87,322,-23.70
2009M02,"15,615",8.00,91.00,-,"8,042",6.91,"7,573",9.17,"1,544",-3.86,769,-9.64,775,2.65,815,0.12,395,-8.14,420,9.38,729,-7.95,374,-11.16,355,-4.31
2009M03,"19,099",31.46,91.94,-,"9,873",29.96,"9,226",33.11,"1,674",5.55,870,3.33,804,8.06,928,12.21,486,9.21,442,15.71,746,-1.71,384,-3.27,362,0.00
2009M04,"9,562",-31.94,90.23,-,"5,013",-32.50,"4,549",-31.32,"1,035",-30.95,559,-30.30,476,-31.71,542,-30.96,284,-32.54,258,-29.12,493,-30.95,275,-27.82,218,-34.53
2009M05,"11,527",-16.55,91.15,-,"5,930",-18.67,"5,597",-14.18,"1,119",-25.20,586,-24.48,533,-25.97,601,-19.76,313,-16.98,288,-22.58,518,-30.66,273,-31.58,245,-29.60
2009M06,"14,815",14.31,91.69,-,"7,770",14.47,"7,045",14.14,"1,342",-8.65,699,-7.66,643,-9.69,743,-0.13,374,-1.58,369,1.37,599,-17.38,325,-13.79,274,-21.26
2009M07,"14,896",2.34,91.40,-,"7,845",3.10,"7,051",1.51,"1,401",-7.10,715,-13.44,686,0.59,754,-5.99,385,-12.90,369,2.50,647,-8.36,330,-14.06,317,-1.55
2009M08,"13,279",-0.81,90.34,-,"6,951",0.17,"6,328",-1.86,"1,420",-3.99,767,-3.28,653,-4.81,781,1.43,426,0.71,355,2.31,639,-9.87,341,-7.84,298,-12.09
2009M09,"14,809",1.89,91.58,-,"7,679",1.37,"7,130",2.44,"1,361",-10.05,727,-10.69,634,-9.30,730,-4.45,386,-4.69,344,-4.18,631,-15.75,341,-16.63,290,-14.71
2009M10,"16,100",-5.37,91.61,-,"8,227",-7.53,"7,873",-2.99,"1,474",-14.65,778,-15.80,696,-13.33,793,-12.28,422,-13.17,371,-11.24,681,-17.25,356,-18.72,325,-15.58
2009M11,"16,098",-13.19,91.70,-,"8,342",-13.03,"7,756",-13.36,"1,458",-20.93,761,-20.40,697,-21.51,751,-20.86,393,-21.24,358,-20.44,707,-21.01,368,-19.47,339,-22.60
2009M12,"16,718",9.66,91.79,-,"8,700",9.37,"8,018",9.99,"1,495",-6.21,809,-0.61,686,-12.05,787,-4.95,435,2.59,352,-12.87,708,-7.57,374,-4.10,334,-11.17
2010M01,"14,288",17.31,91.57,-,"7,530",17.20,"6,758",17.43,"1,315",2.02,700,6.87,615,-3.00,712,10.22,377,12.87,335,7.37,603,-6.22,323,0.62,280,-13.04
2010M02,"11,225",-28.11,90.79,-,"5,799",-27.89,"5,426",-28.35,"1,139",-26.23,600,-21.98,539,-30.45,644,-20.98,337,-14.68,307,-26.90,495,-32.10,263,-29.68,232,-34.65
2010M03,"14,358",-24.82,91.16,-,"7,525",-23.78,"6,833",-25.94,"1,392",-16.85,760,-12.64,632,-21.39,804,-13.36,427,-12.14,377,-14.71,588,-21.18,333,-13.28,255,-29.56
2010M04,"12,186",27.44,91.14,-,"6,370",27.07,"5,816",27.85,"1,185",14.49,634,13.42,551,15.76,655,20.85,363,27.82,292,13.18,530,7.51,271,-1.45,259,18.81
2010M05,"11,773",2.13,91.25,-,"6,207",4.67,"5,566",-0.55,"1,129",0.89,577,-1.54,552,3.56,636,5.82,323,3.19,313,8.68,493,-4.83,254,-6.96,239,-2.45
2010M06,"11,566",-21.93,90.91,-,"6,057",-22.05,"5,509",-21.80,"1,156",-13.86,589,-15.74,567,-11.82,647,-12.92,321,-14.17,326,-11.65,509,-15.03,268,-17.54,241,-12.04
2010M07,"11,510",-22.73,90.86,-,"6,029",-23.15,"5,481",-22.27,"1,158",-17.34,627,-12.31,531,-22.59,667,-11.54,352,-8.57,315,-14.63,491,-24.11,275,-16.67,216,-31.86
2010M08,"12,588",-5.20,91.48,-,"6,493",-6.59,"6,095",-3.68,"1,173",-17.39,671,-12.52,502,-23.12,648,-17.03,365,-14.32,283,-20.28,525,-17.84,306,-10.26,219,-26.51
2010M09,"12,450",-15.93,91.30,-,"6,480",-15.61,"5,970",-16.27,"1,187",-12.78,619,-14.86,568,-10.41,670,-8.22,352,-8.81,318,-7.56,517,-18.07,267,-21.70,250,-13.79
2010M10,"12,373",-23.15,91.74,-,"6,436",-21.77,"5,937",-24.59,"1,114",-24.42,560,-28.02,554,-20.40,630,-20.55,323,-23.46,307,-17.25,484,-28.93,237,-33.43,247,-24.00
2010M11,"14,148",-12.11,91.83,-,"7,434",-10.88,"6,714",-13.43,"1,258",-13.72,657,-13.67,601,-13.77,726,-3.33,377,-4.07,349,-2.51,532,-24.75,280,-23.91,252,-25.66
2010M12,"13,898",-16.87,91.34,-,"7,168",-17.61,"6,730",-16.06,"1,317",-11.91,691,-14.59,626,-8.75,746,-5.21,402,-7.59,344,-2.27,571,-19.35,289,-22.73,282,-15.57
2011M01,"13,423",-6.05,91.29,-,"6,912",-8.21,"6,511",-3.65,"1,280",-2.66,648,-7.43,632,2.76,736,3.37,359,-4.77,377,12.54,544,-9.78,289,-10.53,255,-8.93
2011M02,"11,168",-0.51,91.02,-,"5,868",1.19,"5,300",-2.32,"1,102",-3.25,572,-4.67,530,-1.67,631,-2.02,326,-3.26,305,-0.65,471,-4.85,246,-6.46,225,-3.02
2011M03,"16,171",12.63,92.28,-,"8,337",10.79,"7,834",14.65,"1,353",-2.80,691,-9.08,662,4.75,769,-4.35,392,-8.20,377,0.00,584,-0.68,299,-10.21,285,11.76
2011M04,"13,918",14.21,92.24,-,"7,242",13.69,"6,676",14.79,"1,171",-1.18,607,-4.26,564,2.36,695,6.11,377,3.86,318,8.90,476,-10.19,230,-15.13,246,-5.02
2011M05,"14,949",26.98,92.24,-,"7,776",25.28,"7,173",28.87,"1,257",11.34,642,11.27,615,11.41,730,14.78,384,18.89,346,10.54,527,6.90,258,1.57,269,12.55
2011M06,"14,572",25.99,91.84,-,"7,561",24.83,"7,011",27.26,"1,294",11.94,671,13.92,623,9.88,743,14.84,380,18.38,363,11.35,551,8.25,291,8.58,260,7.88
2011M07,"14,607",26.91,91.94,-,"7,652",26.92,"6,955",26.89,"1,280",10.54,677,7.97,603,13.56,758,13.64,425,20.74,333,5.71,522,6.31,252,-8.36,270,25.00
2011M08,"15,512",23.23,92.35,-,"7,977",22.86,"7,535",23.63,"1,285",9.55,659,-1.79,626,24.70,757,16.82,399,9.32,358,26.50,528,0.57,260,-15.03,268,22.37
2011M09,"16,666",33.86,92.57,-,"8,689",34.09,"7,977",33.62,"1,337",12.64,694,12.12,643,13.20,778,16.12,407,15.62,371,16.67,559,8.12,287,7.49,272,8.80
2011M10,"15,783",27.56,92.10,-,"8,220",27.72,"7,563",27.39,"1,353",21.45,728,30.00,625,12.82,797,26.51,425,31.58,372,21.17,556,14.88,303,27.85,253,2.43
2011M11,"17,053",20.53,92.46,-,"8,802",18.40,"8,251",22.89,"1,390",10.49,721,9.74,669,11.31,785,8.13,404,7.16,381,9.17,605,13.72,317,13.21,288,14.29
2011M12,"17,408",25.26,93.08,-,"8,946",24.80,"8,462",25.74,"1,295",-1.67,651,-5.79,644,2.88,758,1.61,398,-1.00,360,4.65,537,-5.95,253,-12.46,284,0.71
2012M01,"14,026",4.49,91.70,-,"7,316",5.84,"6,710",3.06,"1,270",-0.78,639,-1.39,631,-0.16,727,-1.22,373,3.90,354,-6.10,543,-0.18,266,-7.96,277,8.63
2012M02,"16,149",44.60,92.28,-,"8,448",43.97,"7,701",45.30,"1,351",22.60,723,26.40,628,18.49,797,26.31,423,29.75,374,22.62,554,17.62,300,21.95,254,12.89
2012M03,"17,770",9.89,92.15,-,"9,174",10.04,"8,596",9.73,"1,513",11.83,766,10.85,747,12.84,887,15.34,445,13.52,442,17.24,626,7.19,321,7.36,305,7.02
2012M04,"16,098",15.66,92.49,-,"8,291",14.48,"7,807",16.94,"1,307",11.61,666,9.72,641,13.65,788,13.38,390,3.45,398,25.16,519,9.03,276,20.00,243,-1.22
2012M05,"17,166",14.83,92.58,-,"8,808",13.27,"8,358",16.52,"1,376",9.47,719,11.99,657,6.83,799,9.45,416,8.33,383,10.69,577,9.49,303,17.44,274,1.86
2012M06,"18,128",24.40,93.05,-,"9,492",25.54,"8,636",23.18,"1,354",4.64,700,4.32,654,4.98,798,7.40,437,15.00,361,-0.55,556,0.91,263,-9.62,293,12.69
2012M07,"15,442",5.72,91.39,-,"8,052",5.23,"7,390",6.25,"1,455",13.67,754,11.37,701,16.25,868,14.51,459,8.00,409,22.82,587,12.45,295,17.06,292,8.15
2012M08,"18,201",17.33,92.79,-,"9,246",15.91,"8,955",18.85,"1,414",10.04,774,17.45,640,2.24,829,9.51,437,9.52,392,9.50,585,10.80,337,29.62,248,-7.46
2012M09,"17,469",4.82,92.39,-,"9,088",4.59,"8,381",5.06,"1,439",7.63,743,7.06,696,8.24,826,6.17,434,6.63,392,5.66,613,9.66,309,7.67,304,11.76
2012M10,"21,715",37.58,92.81,-,"11,279",37.21,"10,436",37.99,"1,683",24.39,884,21.43,799,27.84,939,17.82,506,19.06,433,16.40,744,33.81,378,24.75,366,44.66
2012M11,"20,357",19.37,92.73,-,"10,574",20.13,"9,783",18.57,"1,596",14.82,851,18.03,745,11.36,919,17.07,477,18.07,442,16.01,677,11.90,374,17.98,303,5.21
2012M12,"19,665",12.97,92.75,-,"10,053",12.37,"9,612",13.59,"1,537",18.69,808,24.12,729,13.20,879,15.96,472,18.59,407,13.06,658,22.53,336,32.81,322,13.38
2013M01,"20,394",45.40,92.78,-,"10,519",43.78,"9,875",47.17,"1,588",25.04,817,27.86,771,22.19,906,24.62,465,24.66,441,24.58,682,25.60,352,32.33,330,19.13
2013M02,"14,507",-10.17,92.60,-,"7,454",-11.77,"7,053",-8.41,"1,159",-14.21,617,-14.66,542,-13.69,685,-14.05,374,-11.58,311,-16.84,474,-14.44,243,-19.00,231,-9.06
2013M03,"15,699",-11.65,93.00,-,"8,052",-12.23,"7,647",-11.04,"1,181",-21.94,632,-17.49,549,-26.51,673,-24.13,348,-21.80,325,-26.47,508,-18.85,284,-11.53,224,-26.56
2013M04,"14,416",-10.45,92.97,-,"7,586",-8.50,"6,830",-12.51,"1,090",-16.60,574,-13.81,516,-19.50,627,-20.43,345,-11.54,282,-29.15,463,-10.79,229,-17.03,234,-3.70
2013M05,"15,104",-12.01,93.10,-,"7,921",-10.07,"7,183",-14.06,"1,119",-18.68,598,-16.83,521,-20.70,662,-17.15,356,-14.42,306,-20.10,457,-20.80,242,-20.13,215,-21.53
2013M06,"12,969",-28.46,92.88,-,"6,681",-29.61,"6,288",-27.19,994,-26.59,530,-24.29,464,-29.05,591,-25.94,309,-29.29,282,-21.88,403,-27.52,221,-15.97,182,-37.88
2013M07,"15,062",-2.46,92.85,-,"7,849",-2.52,"7,213",-2.40,"1,159",-20.34,596,-20.95,563,-19.69,715,-17.63,356,-22.44,359,-12.22,444,-24.36,240,-18.64,204,-30.14
2013M08,"14,202",-21.97,92.71,-,"7,311",-20.93,"6,891",-23.05,"1,116",-21.07,568,-26.61,548,-14.38,634,-23.52,318,-27.23,316,-19.39,482,-17.61,250,-25.82,232,-6.45
2013M09,"14,644",-16.17,92.98,-,"7,540",-17.03,"7,104",-15.24,"1,106",-23.14,557,-25.03,549,-21.12,614,-25.67,320,-26.27,294,-25.00,492,-19.74,237,-23.30,255,-16.12
2013M10,"16,397",-24.49,93.58,-,"8,529",-24.38,"7,868",-24.61,"1,124",-33.21,609,-31.11,515,-35.54,625,-33.44,341,-32.61,284,-34.41,499,-32.93,268,-29.10,231,-36.89
2013M11,"15,500",-23.86,93.19,-,"8,013",-24.22,"7,487",-23.47,"1,132",-29.07,579,-31.96,553,-25.77,657,-28.51,340,-28.72,317,-28.28,475,-29.84,239,-36.10,236,-22.11
2013M12,"16,300",-17.11,93.40,-,"8,402",-16.42,"7,898",-17.83,"1,151",-25.11,586,-27.48,565,-22.50,646,-26.51,341,-27.75,305,-25.06,505,-23.25,245,-27.08,260,-19.25
2014M01,"14,650",-28.17,93.22,-,"7,751",-26.31,"6,899",-30.14,"1,066",-32.87,559,-31.58,507,-34.24,632,-30.24,336,-27.74,296,-32.88,434,-36.36,223,-36.65,211,-36.06
2014M02,"14,323",-1.27,93.27,-,"7,310",-1.93,"7,013",-0.57,"1,034",-10.79,541,-12.32,493,-9.04,586,-14.45,311,-16.84,275,-11.58,448,-5.49,230,-5.35,218,-5.63
2014M03,"16,415",4.56,93.33,-,"8,435",4.76,"7,980",4.35,"1,173",-0.68,618,-2.22,555,1.09,670,-0.45,356,2.30,314,-3.38,503,-0.98,262,-7.75,241,7.59
2014M04,"16,402",13.78,93.69,-,"8,416",10.94,"7,986",16.93,"1,105",1.38,591,2.96,514,-0.39,688,9.73,360,4.35,328,16.31,417,-9.94,231,0.87,186,-20.51
2014M05,"14,588",-3.42,93.17,-,"7,560",-4.56,"7,028",-2.16,"1,070",-4.38,549,-8.19,521,0.00,609,-8.01,312,-12.36,297,-2.94,461,0.88,237,-2.07,224,4.19
2014M06,"15,313",18.07,93.26,-,"7,929",18.68,"7,384",17.43,"1,107",11.37,573,8.11,534,15.09,678,14.72,342,10.68,336,19.15,429,6.45,231,4.52,198,8.79
2014M07,"16,499",9.54,93.44,-,"8,597",9.53,"7,902",9.55,"1,159",0.00,601,0.84,558,-0.89,697,-2.52,372,4.49,325,-9.47,462,4.05,229,-4.58,233,14.22
2014M08,"15,482",9.01,93.46,-,"8,012",9.59,"7,470",8.40,"1,084",-2.87,562,-1.06,522,-4.74,634,0.00,322,1.26,312,-1.27,450,-6.64,240,-4.00,210,-9.48
